PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
824,1,0,0,L,3B,3B,3B,2.2,2.2,-0.04,2.8,2,-0.82,2,3,0.98,1.2,0,-1.16
322,1,0,1,L,4A,4C,3B,2.8,0,-2.81,3.4,0,-3.37,2.8,0,-2.76,1.8,0,-1.76
230,1,1,0,M,,,4,3.9,4.9,1.03,4.3,4,-0.31,3.8,4,0.19,3.1,5,1.89
618,1,0,0,M,,,3B,2.9,3.1,0.12,3.5,3,-0.46,2.9,3,0.13,1.9,1.7,-0.24
404,0,0,0,M,,,3B,2.9,4.8,1.87,3.5,5.5,2.04,2.9,5.5,2.63,1.9,2.7,0.76
4,0,0,0,M,5B,5C,4B,5.1,4.5,-0.64,5.4,7,1.63,5,4,-1.04,4.7,2,-2.7
287,0,0,0,M,4C,4C,4B,3.5,3.2,-0.31,4,5.5,1.51,3.5,3,-0.49,2.6,0,-2.64
259,1,0,0,M,4A,4A,4B,4.1,3,-1.19,4.6,4,-0.56,4.1,4,-0.09,3.5,0.5,-2.98
595,0,0,1,L,4C,3B,3A,2.5,3,0.48,3.1,2,-1.11,2.4,4,1.6,1.4,1,-0.45
812,0,0,0,L,3C,3B,3A,2.4,1.9,-0.47,2.9,2,-0.93,2.2,2,-0.2,1.3,0,-1.27
113,1,0,1,L,B,B,B,1.5,0.9,-0.63,2,1,-0.99,1.1,0,-1.05,0.7,0,-0.68
561,0,0,0,,,,,,3.2,,,2,,,3,,,3.5,
183,0,0,0,L,4B,4C,3B,2.8,3.4,0.56,3.4,4,0.63,2.8,2,-0.76,1.8,2,0.24
811,0,0,0,M,5C,4C,4A,4.4,4,-0.4,4.8,5.5,0.7,4.3,4,-0.3,3.8,2,-1.83
660,0,0,0,M,,,4B,3.9,4.6,0.73,4.3,4,-0.31,3.8,5.5,1.69,3.1,4,0.89
642,0,0,0,M,,,4B,3.9,2.9,-1.02,4.3,3,-1.31,3.8,3,-0.81,3.1,2,-1.11
145,1,0,0,M,5C,3B,5C,4.9,2.4,-2.53,5.3,3,-2.26,4.8,3,-1.85,4.5,1,-3.51
594,0,0,1,M,4C,3C,4B,3.1,4.2,1.06,3.6,4,0.36,3.1,5.5,2.37,2.2,2.7,0.49
711,1,1,1,L,N,N,2,1.6,1.4,-0.14,2.1,1.5,-0.61,1.1,2,0.88,0.7,0,-0.66
937,0,0,0,M,5C,4A,4B,4.7,5,0.3,5,4,-1.01,4.6,7,2.43,4.2,3.7,-0.49
1030,0,0,0,H,5C,4C,5B,5.5,4.5,-1.01,5.7,4,-1.73,5.5,7,1.48,5.2,2.7,-2.55
750,0,0,1,L,N,3C,3C,1.9,1.8,-0.08,2.5,1.5,-1,1.6,2,0.43,0.9,0.3,-0.52
136,0,1,0,L,5C,4A,N,2.7,3.7,0.99,3.2,4,0.77,2.6,3,0.42,1.6,1.5,-0.09
142,0,0,0,M,5C,4A,4C,4.1,3.2,-0.99,4.6,4,-0.56,4.1,3,-1.09,3.5,1.7,-1.81
622,1,0,0,H,5B,5B,5B,6.4,5.8,-0.61,6.5,7,0.5,6.5,5.5,-1.01,6.3,5,-1.26
382,0,0,0,M,5B,5C,4B,4.9,5.2,0.22,5.3,8.5,3.24,4.8,3,-1.85,4.5,3,-1.51
490,0,0,0,M,,,4B,3.9,4,0.13,4.3,4,-0.31,3.8,5.5,1.69,3.1,2,-1.11
831,0,0,0,H,5C,5C,5C,5.8,5.7,-0.16,6,5.5,-0.47,5.9,4,-1.87,5.6,5.5,-0.08
272,0,0,0,M,4B,4C,4C,3.5,2.3,-1.21,4,2,-1.99,3.5,3,-0.49,2.6,0.7,-1.97
1,0,0,0,M,5B,4B,4A,5.1,4.9,-0.19,5.4,5.5,0.13,5,4,-1.04,4.7,4.5,-0.2
413,0,0,0,H,,,4,5.1,4.6,-0.54,5.4,4,-1.37,5,5.5,0.46,4.7,2.3,-2.37
671,0,0,0,M,4A,4B,4B,3.9,4.6,0.68,4.3,7,2.69,3.8,4,0.19,3.1,2.3,-0.78
637,0,0,0,L,,,2,1.5,1,-0.56,2,1.5,-0.49,1.1,0,-1.05,0.7,0,-0.68
947,0,0,0,M,4A,4A,4B,4.4,3.7,-0.7,4.8,4,-0.8,4.3,4,-0.3,3.8,2,-1.83
96,0,0,0,M,4A,4A,4B,4.1,4.1,-0.09,4.6,5.5,0.94,4.1,3,-1.09,3.5,2.3,-1.15
820,1,0,1,,,,,,3.7,,,3,,,7,,,1,
23,0,0,0,M,4B,4C,4A,4.1,4.5,0.36,4.6,4,-0.56,4.1,5.5,1.41,3.5,3.7,0.19
255,1,0,0,L,N,3C,N,1.6,0.8,-0.77,2.1,1.5,-0.61,1.1,0,-1.12,0.7,0,-0.66
846,0,0,0,H,4A,4C,5C,5.1,3.5,-1.64,5.4,4,-1.37,5,4,-1.04,4.7,2,-2.7
396,0,0,0,M,4A,4B,4A,4.4,3.5,-0.95,4.8,3,-1.8,4.3,4,-0.3,3.8,1.3,-2.49
695,1,0,0,M,3A,4C,4C,2.9,1.7,-1.26,3.5,2,-1.46,2.9,3,0.13,1.9,0,-1.91
411,1,0,0,H,5B,4A,5C,6.1,5,-1.19,6.2,5.5,-0.73,6.3,5.5,-0.78,6,3.2,-2.82
538,0,0,0,M,4A,4B,3B,2.9,3.5,0.57,3.5,4,0.54,2.9,3,0.13,1.9,1,-0.91
173,0,0,0,H,5C,3A,5C,5.1,4.9,-0.19,5.4,4,-1.37,5,7,1.96,4.7,4.5,-0.2
903,0,1,1,M,4A,3A,4A,4.1,2.5,-1.69,4.6,2,-2.56,4.1,4,-0.09,3.5,0,-3.48
634,0,0,0,,,,,,5.7,,,5.5,,,7,,,4.5,
99,1,0,0,M,,,4B,3.9,5.4,1.53,4.3,7,2.69,3.8,4,0.19,3.1,4.7,1.55
378,0,0,0,M,5C,4B,3A,3.5,2.9,-0.66,4,3,-0.99,3.5,3,-0.49,2.6,1.5,-1.14
625,1,0,1,L,B,B,B,1.5,1,-0.53,2,1,-0.99,1.1,0,-1.05,0.7,0,-0.68
995,0,0,0,M,5C,3A,5C,4.7,5.6,0.95,5,3,-2.01,4.6,7,2.43,4.2,5,0.85
196,1,1,0,M,5C,4C,5C,4.9,4,-0.98,5.3,3,-2.26,4.8,4,-0.85,4.5,3,-1.51
128,0,0,0,M,4B,3A,3A,2.9,4.9,1.97,3.5,5.5,2.04,2.9,4,1.13,1.9,4.5,2.59
789,1,0,1,L,4C,3B,3B,2.4,1.2,-1.22,2.9,1.5,-1.43,2.2,2,-0.2,1.3,0,-1.27
530,0,0,1,H,,,5,6.4,3.9,-2.51,6.5,3,-3.5,6.5,5.5,-1.01,6.3,2.3,-3.93
369,1,0,0,M,4A,4C,5C,4.9,4.9,-0.08,5.3,5.5,0.24,4.8,7,2.15,4.5,1.3,-3.18
546,1,0,1,M,,,4,3.9,2.9,-0.97,4.3,4,-0.31,3.8,3,-0.81,3.1,0.5,-2.61
122,1,0,0,M,5B,4B,4A,5.1,4.3,-0.84,5.4,4,-1.37,5,4,-1.04,4.7,2.3,-2.37
498,0,0,1,L,,,3B,2.2,0.7,-1.59,2.8,1,-1.82,2,0,-2.02,1.2,0,-1.16
802,0,0,0,H,,,5C,5.1,3.6,-1.54,5.4,4,-1.37,5,4,-1.04,4.7,2,-2.7
540,1,1,0,M,4A,4B,3A,3.3,4.6,1.24,3.8,5.5,1.68,3.3,4,0.7,2.4,2.8,0.45
523,0,0,0,M,,,4,3.9,4.9,1.03,4.3,5.5,1.19,3.8,4,0.19,3.1,4,0.89
306,1,0,1,L,3B,3A,3B,2.5,2.3,-0.22,3.1,2,-1.11,2.4,3,0.6,1.4,1,-0.45
639,0,0,0,H,5C,4A,5B,5.8,4.1,-1.76,6,4,-1.97,5.9,4,-1.87,5.6,2.7,-2.92
381,0,1,0,M,,,4,3.9,2.9,-1.02,4.3,2,-2.31,3.8,4,0.19,3.1,1.7,-1.45
344,0,0,0,H,,,5,6.4,7.2,0.74,6.5,7,0.5,6.5,7,0.49,6.3,6.5,0.24
28,1,0,1,L,,,3,2.2,0.8,-1.49,2.8,1,-1.82,2,0,-2.02,1.2,0,-1.16
716,0,0,0,H,5B,4A,5C,6.1,4,-2.14,6.2,5.5,-0.73,6.3,4,-2.28,6,2,-3.98
240,0,0,0,L,4B,3B,3B,2.7,2.6,-0.06,3.2,3,-0.23,2.6,3,0.42,1.6,1,-0.59
151,0,1,0,L,4C,4B,3B,2.8,3,0.19,3.4,3,-0.37,2.8,3,0.24,1.8,1,-0.76
421,0,0,0,M,4B,4C,4B,3.7,4.8,1.04,4.2,4,-0.16,3.7,5.5,1.82,2.9,4.5,1.59
935,1,0,0,L,4C,3A,3B,2.7,2.7,-0.01,3.2,3,-0.23,2.6,3,0.42,1.6,1.5,-0.09
294,0,0,1,M,5C,3A,4B,3.9,3.3,-0.62,4.3,2,-2.31,3.8,4,0.19,3.1,2.7,-0.45
580,1,0,0,M,5C,4B,4B,4.4,5.1,0.65,4.8,4,-0.8,4.3,4,-0.3,3.8,4.5,0.67
688,0,0,0,H,,,5,5.1,5.4,0.26,5.4,4,-1.37,5,5.5,0.46,4.7,5.5,0.8
688,0,0,0,,,,,,5.7,,,5.5,,,4,,,5.5,
285,0,0,0,L,5C,4A,N,2.5,3.1,0.58,3.1,3,-0.11,2.4,3,0.6,1.4,1.7,0.22
576,1,0,0,M,,,4,3.9,4,0.08,4.3,4,-0.31,3.8,4,0.19,3.1,3.3,0.22
835,0,0,0,M,,,4,3.9,1.7,-2.17,4.3,3,-1.31,3.8,2,-1.81,3.1,0.7,-2.45
